DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-09-30,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,1,13,26.0
2023-09-30,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,2,9,28.0
2023-09-30,Chest / Shoulders / Triceps,Dumbbell Bench Press,Chest,3,5,30.0
2023-09-30,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,1,7,26.0
2023-09-30,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,2,6,26.0
2023-09-30,Chest / Shoulders / Triceps,Incline dumbbell bench press,Chest,3,7,26.0
2023-09-30,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,4,24.0
2023-09-30,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,1,8,16.0
2023-09-30,Chest / Shoulders / Triceps,Low-cable cross-over,Chest,2,10,14.0
2023-09-30,Chest / Shoulders / Triceps,Cable cross-over,Chest,1,9,18.0
2023-09-30,Chest / Shoulders / Triceps,Cable cross-over,Chest,2,8,18.0
2023-09-30,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,1,11,25.0
2023-09-30,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,2,8,25.0
2023-09-30,Chest / Shoulders / Triceps,Behind-the-head skullcrusher,Triceps,3,8,25.0
2023-09-30,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,1,9,27.0
2023-09-30,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,2,9,27.0
2023-09-30,Chest / Shoulders / Triceps,Triceps Pushdown,Triceps,3,9,27.0
2023-09-30,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,1,12,12.0
2023-09-30,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,2,9,12.0
2023-09-30,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,3,7,12.0
2023-10-01,Back / Shoulders / Biceps,Lat pull-down,Back,1,13,59.0
2023-10-01,Back / Shoulders / Biceps,Lat pull-down,Back,2,10,66.0
2023-10-01,Back / Shoulders / Biceps,Lat pull-down,Back,3,10,66.0
2023-10-01,Back / Shoulders / Biceps,Seated Cable Rows,Back,1,10,61.0
2023-10-01,Back / Shoulders / Biceps,Seated Cable Rows,Back,2,8,61.0
2023-10-01,Back / Shoulders / Biceps,Seated Cable Rows,Back,3,7,61.0
2023-10-01,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,1,9,41.0
2023-10-01,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,2,8,41.0
2023-10-01,Back / Shoulders / Biceps,Straight-arm cable pull-over,Back,3,7,41.0
2023-10-01,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,1,10,14.0
2023-10-01,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,2,8,14.0
2023-10-01,Back / Shoulders / Biceps,Standing crossed-cable rear delt fly,Shoulders,3,8,14.0
2023-10-01,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,1,11,38.0
2023-10-01,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,2,7,41.0
2023-10-01,Back / Shoulders / Biceps,Cable rope hammer curl,Biceps,3,7,38.0
2023-10-01,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,1,9,10.0
2023-10-01,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,2,7,10.0
2023-10-01,Back / Shoulders / Biceps,Incline dumbbell biceps curl,Biceps,3,6,10.0
