DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-03-27,Legs,Barbell Squat,Legs,1,10,40.0
2023-03-27,Legs,Barbell Squat,Legs,2,8,50.0
2023-03-27,Legs,Barbell Squat,Legs,3,8,60.0
2023-03-27,Legs,Barbell Squat,Legs,4,8,50.0
2023-03-27,Legs,Leg Press,Legs,1,10,60.0
2023-03-27,Legs,Leg Press,Legs,2,10,60.0
2023-03-27,Legs,Leg Press,Legs,3,8,80.0
2023-03-27,Legs,Leg Press,Legs,4,10,80.0
2023-03-27,Legs,Leg Extensions,Legs,1,7,25.0
2023-03-27,Legs,Leg Extensions,Legs,2,7,25.0
2023-03-27,Legs,Leg Extensions,Legs,3,9,20.0
2023-03-27,Legs,Leg Extensions,Legs,4,10,20.0
2023-03-28,Back / Shoulders,Lat pull-down,Back,1,10,39.0
2023-03-28,Back / Shoulders,Lat pull-down,Back,2,10,45.0
2023-03-28,Back / Shoulders,Lat pull-down,Back,3,6,59.0
2023-03-28,Back / Shoulders,Lat pull-down,Back,4,5,52.0
2023-03-28,Back / Shoulders,Pull-up,Back,1,5,0.0
2023-03-28,Back / Shoulders,Bent Over Barbell Row,Back,1,9,40.0
2023-03-28,Back / Shoulders,Bent Over Barbell Row,Back,2,10,40.0
2023-03-28,Back / Shoulders,Bent Over Barbell Row,Back,3,8,45.0
2023-03-28,Back / Shoulders,Bent Over Barbell Row,Back,4,7,45.0
2023-03-28,Back / Shoulders,Seated Cable Rows,Back,1,10,25.0
2023-03-28,Back / Shoulders,Seated Cable Rows,Back,2,10,32.0
2023-03-28,Back / Shoulders,Seated Cable Rows,Back,3,8,39.0
2023-03-28,Back / Shoulders,Seated Cable Rows,Back,4,8,39.0
2023-03-28,Back / Shoulders,Incline dumbbell row,Shoulders,1,10,8.0
2023-03-28,Back / Shoulders,Incline dumbbell row,Shoulders,2,10,8.0
2023-03-28,Back / Shoulders,Incline dumbbell row,Shoulders,3,10,8.0
2023-04-03,Chest / Shoulders,Bench press,Chest,1,10,40.0
2023-04-03,Chest / Shoulders,Bench press,Chest,2,6,50.0
2023-04-03,Chest / Shoulders,Bench press,Chest,3,5,50.0
2023-04-03,Chest / Shoulders,Bench press,Chest,4,4,50.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,1,10,14.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,2,7,16.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,3,6,16.0
2023-04-03,Chest / Shoulders,Incline dumbbell bench press,Chest,4,4,16.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,1,10,9.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,2,10,14.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,3,10,14.0
2023-04-03,Chest / Shoulders,Cable cross-over,Chest,4,10,14.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,1,10,10.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,2,7,12.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,3,7,12.0
2023-04-03,Chest / Shoulders,Seated dumbbell shoulder press,Shoulders,4,6,12.0
2023-04-04,Back / Shoulders,Pull-up,Back,1,5,0.0
2023-04-04,Back / Shoulders,Pull-up,Back,2,5,0.0
2023-04-04,Back / Shoulders,Pull-up,Back,3,4,0.0
2023-04-04,Back / Shoulders,Pull-up,Back,4,3,0.0
2023-04-04,Back / Shoulders,Bent Over Barbell Row,Back,1,10,40.0
