DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-10-18,Chest / Shoulders / Triceps,Bench press,Chest,1,10,60.0
2023-10-18,Chest / Shoulders / Triceps,Bench press,Chest,2,7,60.0
2023-10-18,Chest / Shoulders / Triceps,Bench press,Chest,3,6,60.0
2023-10-18,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,1,8,50.0
2023-10-18,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,2,9,50.0
2023-10-18,Chest / Shoulders / Triceps,Close-grip bench press,Triceps,3,6,50.0
2023-10-18,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,1,8,20.0
2023-10-18,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,2,6,20.0
2023-10-18,Chest / Shoulders / Triceps,Seated dumbbell shoulder press,Shoulders,3,6,20.0
2023-10-18,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,1,9,12.0
2023-10-18,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,2,9,12.0
2023-10-18,Chest / Shoulders / Triceps,Dumbbell lateral raise,Shoulders,3,7,12.0
